OpenFork Discoveries — 2026-08-12
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

1. https://github.com/americanexpress/babel-preset-amex | ✨ Standard babel preset for American Express | JavaScript | 20 stars | Apache-2.0
2. https://github.com/GoogleChromeLabs/pending-beacon-polyfill |  | JavaScript | 20 stars | Apache-2.0
3. https://github.com/a3rev/a3-lazy-load | Speed up your site and enhance frontend user's visual experience in PC's, Tablets and mobile with a3 Lazy Load. | JavaScript | 20 stars | GPL-3.0
4. https://github.com/emollick/imminence | a suburb, on the last evening - a ten-minute game printed in three inks and a gold. Play: the-imminence.netlify.app | JavaScript | 20 stars | MIT
5. https://github.com/itsliaaa/starseed | A lightweight and modular WhatsApp bot built with Baileys, bringing group management, moderation, fun quiz games, and handy tools together in a fast, efficient, and minimal setup. | JavaScript | 20 stars | Apache-2.0
6. https://github.com/thejfkvis/BedrockX | A heavily optimized version of the bedrock protocol library | JavaScript | 20 stars | MIT
7. https://github.com/EasyEyes/remote-calibrator | Measure screen size, track viewing distance and gaze, and more! | JavaScript | 20 stars | MIT
8. https://github.com/usyless/twitter-improvements | Easy Twitter/X full quality image and video downloading with custom filenames, easy copying tweets with VXTwitter or FXTwitter links, sidebar and tweet button hiding, and other quality of life features! | JavaScript | 20 stars | GPL-3.0
9. https://github.com/S1implyBlue/PTF-Studio | A visual PSP PTF theme maker, editor and live XMB preview.  | JavaScript | 20 stars | GPL-3.0
10. https://github.com/presidential-innovation-fellows/pif-website | PIF website, jekyll flavored | JavaScript | 20 stars | NOASSERTION
11. https://github.com/mwakidenis/E-Commerce-Website | This project is an e-commerce website featuring three roles: Admin, User, and Guest. It consists of two systems: MainSystem for core functionalities like browsing, shopping, and management, and SubSystem for payment processing. Built using Node.js, Express.js, and TailwindCSS, it ensures a modern, scalable, and user-friendly experience. | JavaScript | 20 stars | MIT
12. https://github.com/Spiker985/x-terminal-reloaded | An xterm based package for providing terminals inside your workspace. | JavaScript | 20 stars | NOASSERTION
13. https://github.com/sffxzzp/EpicInfo | 将匹配于其乐社区中的 Epic 游戏链接，并变更已拥有游戏的链接颜色。 | JavaScript | 20 stars | MIT
14. https://github.com/alchaincyf/huashu-slide-codex | Codex-only AI visual material production skill — slides + WeChat covers + Bilibili/YouTube thumbnails, powered by built-in image_gen (no API fees) | JavaScript | 20 stars | MIT
15. https://github.com/dipterix/three-brain-js | Javascript engine for 3D brain model (used by RAVE project) | JavaScript | 20 stars | MPL-2.0
16. https://github.com/eu-digital-identity-wallet/av-lib-android-zkp-age-icao | Age Verification ZKP ICAO for Android | JavaScript | 20 stars | Apache-2.0
17. https://github.com/paypal/paypal-card-components | A Hosted Fields component for Payments SDK | JavaScript | 20 stars | Apache-2.0
18. https://github.com/1024pix/pix-ui | Pix-UI is the implementation of Pix design principles and guidelines for its products. | JavaScript | 20 stars | MIT
19. https://github.com/Pradumnasaraf/Pradumnasaraf.github.io | Pradumna's personal website repo. | JavaScript | 20 stars | GPL-3.0
20. https://github.com/szhsin/eslint-plugin-react-hooks-addons | ESLint rule to check potentially unintended dependencies in the useEffect hook. | JavaScript | 20 stars | MIT
21. https://github.com/youngchris29-art/NuvioTV | Native tvOS (Apple TV) port of NuvioMobile, reusing its shared Kotlin business logic with a new SwiftUI focus-engine frontend | JavaScript | 20 stars | GPL-3.0
22. https://github.com/polius/RetroX | Self-hosted retro gaming, right in your browser. | JavaScript | 20 stars | NOASSERTION
23. https://github.com/Anbani/anbani.js | Multifunctional javascript toolkit for Georgian Alphabet - Anbani | JavaScript | 20 stars | GPL-3.0
24. https://github.com/SoPat712/obsidian-intelligent-linking | A fork of Smart-Connections by brianpetro | JavaScript | 20 stars | GPL-3.0
25. https://github.com/mailmojo/screenie-server | A Node server with a cluster of Puppeteer (Chrome headless) instances for scalable screenshot generation. | JavaScript | 20 stars | MIT
26. https://github.com/Llama-Logic/PlumbBuddy | The friendly helper for Sims 4 mods—crafted with care, open for all. | JavaScript | 20 stars | MIT
27. https://github.com/herschel666/exif-loader | Extract EXIF- & IPTC-data from your JPGs during build-time. | JavaScript | 20 stars | MIT
28. https://github.com/darthcloud/BlueRetroWebCfg | BlueRetro Web-Bluetooth configuration pages | JavaScript | 20 stars | Apache-2.0
29. https://github.com/mjbvz/vscode-markdown-yaml-preamble | Makes yaml front matter render as a table in VS Code's built-in markdown preview: | JavaScript | 20 stars | MIT
30. https://github.com/harsh98trivedi/Instagram-Photo-Downloader | Download Instagram photos with ease. Free, Clean & Simple Instagram Photo Downloader for you. | JavaScript | 20 stars | GPL-3.0
31. https://github.com/yohasebe/fastmail-plus | A Chrome extension to make Fastmail web UI more usable and productive | JavaScript | 20 stars | MIT
32. https://github.com/ladiaria/utopia-crm | Utopía is an open source platform for community based newsrooms to manage their subscriptions  | JavaScript | 20 stars | BSD-3-Clause
33. https://github.com/Hubro/tree-sitter-robot | Tree-sitter parser for Robot Framework files | JavaScript | 20 stars | ISC
34. https://github.com/Omar-Azam/forge-agent | Forge Agent is a free, autonomous AI coding agent that requires no API key or subscription. It uses browser automation to communicate with any web based AI assistant, turning it into a fully autonomous coding agent that can read files, write code, run terminal commands, search codebases, and build complete projects from a single prompt. | JavaScript | 20 stars | MIT
35. https://github.com/crosswordnexus/html5-crossword-solver | An HTML5 crossword solver that can handle JPZ files | JavaScript | 20 stars | BSD-3-Clause
36. https://github.com/nearform/the-graphql-workshop | A workshop about GraphQL with mercurius | JavaScript | 20 stars | CC-BY-SA-4.0
37. https://github.com/AnEntrypoint/gm |  | JavaScript | 20 stars | MIT
38. https://github.com/TouhouFishClub/baibaibot |  | JavaScript | 20 stars | MIT
39. https://github.com/mateonunez/fastify-orama | Orama search-engine plugin for Fastify | JavaScript | 20 stars | MIT
40. https://github.com/slogsdon/parcel-plugin-fable | Parcel bundler plugin for Fable — compile F# to JavaScript inside Parcel's asset pipeline. | JavaScript | 20 stars | MIT
41. https://github.com/rkinnett/rkinnett.github.io |  | JavaScript | 20 stars | GPL-3.0
42. https://github.com/kiro-community/book-of-kiro | This is the book of Kiro. This book is not maintained by AWS. The information may not be current. | JavaScript | 20 stars | MIT
43. https://github.com/sle118/squeezelite-esp32-installer | Web installer for the squeezelite-esp32 project | JavaScript | 20 stars | MIT
44. https://github.com/dhis2/data-visualizer-app | DHIS2 Data Visualizer App | JavaScript | 20 stars | BSD-3-Clause
45. https://github.com/Ali-hey-0/Browser-Data-Logger | A modular browser telemetry & fingerprinting research toolkit — explores Web APIs, device metadata, sensors, geolocation, media, and storage. Streams collected data via WebSocket and Telegram. Built for authorised security research and browser API experimentation. | JavaScript | 20 stars | MIT
46. https://github.com/littlebyteorg/appledb-web |  | JavaScript | 20 stars | MIT
